"Day","Users","Average.Minutes.In.Game","Users.Class.Druid","Users.Class.Hunter","Users.Class.Mage","Users.Class.Paladin","Users.Class.Priest","Users.Class.Rogue","Users.Class.Shaman","Users.Class.Warlock","Users.Class.Warrior","Users.Class.Death Knight","Users.Race.Blood Elf","Users.Race.Orc","Users.Race.Tauren","Users.Race.Troll","Users.Race.Undead"
"01/01/2008",2512,205.171178343949,196,362,356,254,262,284,177,315,309,NA,777,253,510,295,677
"01/02/2008",2175,171.820689655172,171,305,310,213,244,219,151,285,280,NA,665,232,442,263,575
"01/03/2008",2079,160.957190957191,164,290,293,181,227,227,154,278,265,NA,622,215,432,259,551
"01/04/2008",2188,180.781535648995,164,307,309,219,243,241,160,274,272,NA,674,225,436,291,562
"01/05/2008",2424,215.350660066007,181,373,342,235,274,237,166,305,312,NA,774,254,499,300,598
"01/06/2008",2491,220.264953833802,202,354,349,252,280,250,175,321,310,NA,779,259,516,300,637
"01/07/2008",2238,173.445040214477,186,312,300,208,265,230,158,293,288,NA,680,236,465,265,593
"01/08/2008",2191,172.902784116842,168,316,313,222,255,222,148,280,267,NA,695,221,425,253,597
"01/09/2008",2216,165.663357400722,166,320,305,215,254,232,159,288,278,NA,688,232,450,256,590
"01/10/2008",1953,147.357910906298,148,293,281,190,212,205,147,239,238,NA,608,200,415,238,492
"01/11/2008",2274,172.471416007036,169,340,333,228,247,228,173,295,262,NA,735,234,454,282,569
"01/12/2008",2497,194.949939927914,189,373,356,240,280,255,190,313,303,NA,778,268,500,298,655
"01/13/2008",2571,209.922209257098,204,355,378,245,294,276,187,328,304,NA,799,249,519,310,694
"01/14/2008",2224,177.036870503597,184,315,302,211,261,233,170,270,281,NA,668,244,472,274,570
"01/15/2008",2273,169.177298724153,180,314,334,211,270,251,155,282,279,NA,719,231,456,265,603
"01/16/2008",2297,161.932956029604,175,326,327,223,264,248,169,301,265,NA,735,229,460,275,599
"01/17/2008",2127,164.616831217677,168,300,299,193,239,219,151,283,275,NA,670,210,447,251,549
"01/18/2008",2375,175.098947368421,180,341,334,222,267,255,158,307,311,NA,740,239,496,266,635
"01/19/2008",2474,203.629749393694,183,368,373,236,272,248,173,318,305,NA,809,251,487,295,633
"01/20/2008",2592,217.554012345679,203,373,388,247,283,284,175,335,306,NA,835,260,519,319,659
"01/21/2008",2313,179.433635970601,186,348,326,208,254,260,144,310,281,NA,763,230,453,270,599
"01/22/2008",2364,176.425549915398,180,343,337,226,265,270,161,290,293,NA,781,242,470,281,590
"01/23/2008",2355,170.475583864119,179,329,351,232,254,267,156,306,282,NA,770,219,458,273,636
"01/24/2008",1589,120.912523599748,123,237,233,162,174,163,103,211,183,NA,527,159,325,171,407
"01/25/2008",2306,182.098872506505,178,343,322,239,273,233,149,306,265,NA,778,220,462,259,588
"01/26/2008",2610,216.283524904215,204,385,384,267,289,261,176,337,308,NA,862,269,520,312,647
"01/27/2008",2658,209.811888638074,194,396,397,271,300,291,179,312,318,NA,858,272,526,327,675
"01/28/2008",2352,165.565476190476,186,364,344,238,251,235,149,296,289,NA,775,223,480,282,592
"01/29/2008",2343,173.060179257362,176,338,330,235,261,248,158,314,285,NA,785,231,473,272,583
"01/30/2008",2318,167.834339948231,165,336,349,225,254,235,171,312,276,NA,757,229,462,277,596
"01/31/2008",2104,150.841254752852,157,322,319,196,226,215,146,283,243,NA,688,209,422,248,539
"02/01/2008",2228,173.873429084381,150,330,334,217,248,243,149,295,262,NA,726,224,432,263,583
"02/02/2008",2455,200.488798370672,178,371,355,250,269,265,159,321,289,NA,821,246,486,289,616
"02/03/2008",2535,211.526627218935,194,379,377,238,280,252,176,316,324,NA,821,250,525,315,626
"02/04/2008",2266,172.555163283319,167,345,335,222,245,251,160,285,256,NA,751,226,435,268,587
"02/05/2008",2326,185.877042132416,175,377,331,229,255,254,142,308,256,NA,795,225,442,281,583
"02/06/2008",2230,188.076233183857,170,337,323,226,229,235,155,297,259,NA,762,216,435,253,564
"02/07/2008",1960,178.923469387755,142,299,282,211,208,208,133,252,226,NA,690,207,379,205,480
"02/08/2008",2158,198.85078776645,150,330,320,228,215,226,156,263,271,NA,736,204,445,220,553
"02/09/2008",2156,209.109461966605,155,320,321,227,221,231,140,275,268,NA,732,207,432,239,549
"02/10/2008",2313,208.651102464332,167,342,329,250,232,250,165,284,294,NA,773,231,463,263,583
"02/11/2008",2461,206.716781796018,183,363,363,247,261,250,160,321,318,NA,816,250,495,273,628
"02/12/2008",2244,174.808377896613,173,330,311,235,244,244,145,288,277,NA,767,216,444,257,561
"02/13/2008",2304,167.916666666667,189,344,338,234,246,228,152,291,284,NA,755,214,474,259,603
"02/14/2008",2070,149.657004830918,171,302,296,227,220,219,139,245,255,NA,706,191,424,225,525
"02/15/2008",2257,174.864864864865,178,345,298,228,260,230,156,299,263,NA,749,216,443,279,570
"02/16/2008",2487,202.295938882187,198,392,349,252,256,264,163,318,296,NA,857,243,500,290,598
"02/17/2008",2560,209.46875,197,393,354,263,279,273,165,324,314,NA,873,238,511,302,640
"02/18/2008",2318,173.175150992235,189,337,339,241,248,247,151,290,277,NA,806,207,458,282,565
"02/19/2008",2236,159.758497316637,175,324,335,214,246,238,139,300,266,NA,765,198,434,273,567
"02/20/2008",2266,170.353045013239,179,343,309,250,253,238,133,281,280,NA,777,224,444,257,565
"02/21/2008",2072,150.294401544402,153,306,298,206,238,211,131,276,254,NA,713,197,408,226,528
"02/22/2008",2231,176.4276109368,167,325,303,223,254,240,145,301,273,NA,724,211,431,267,598
"02/23/2008",2510,209.689243027888,185,380,348,262,264,275,162,333,302,NA,852,235,485,309,629
"02/24/2008",2647,212.111824707216,210,393,368,266,294,301,173,337,305,NA,868,249,514,323,693
"02/25/2008",2257,165.17501107665,167,348,323,215,245,238,159,296,267,NA,729,244,432,267,585
"02/26/2008",2333,165.473639091299,180,356,333,219,253,239,161,314,278,NA,781,239,446,284,583
"02/27/2008",2278,164.108867427568,177,352,310,225,259,237,149,320,249,NA,760,211,446,282,579
"02/28/2008",2422,185.516102394715,186,367,350,246,265,264,154,316,276,NA,820,226,473,285,618
"02/29/2008",2329,167.234864748819,193,332,328,246,255,243,159,303,271,NA,773,225,464,269,599
"03/01/2008",2562,202.064793130367,202,387,355,275,277,263,176,317,311,NA,852,263,502,303,642
"03/02/2008",2365,178.359408033827,182,347,333,253,261,256,160,287,287,NA,779,237,475,269,605
"03/03/2008",2238,162.475424486148,179,327,316,235,248,241,156,296,241,NA,781,207,432,247,571
"03/04/2008",2165,162.697459584296,187,310,305,218,230,234,140,280,261,NA,728,195,437,241,564
"03/05/2008",2269,157.117672983693,190,330,317,228,236,245,166,291,266,NA,736,242,448,263,580
"03/06/2008",2086,151.481303930968,179,316,278,218,212,218,129,273,263,NA,693,205,431,223,534
"03/07/2008",2243,165.7779759251,176,322,314,224,241,245,153,296,273,NA,754,207,449,267,566
"03/08/2008",2491,206.696105981534,189,361,346,247,272,265,186,327,300,NA,834,245,514,284,614
"03/09/2008",2617,209.541459686664,214,382,359,273,272,271,196,337,313,NA,872,263,547,303,633
"03/10/2008",2213,158.459105286941,179,305,304,215,243,221,165,299,283,NA,746,230,453,239,545
"03/11/2008",2184,162.586996336996,176,301,296,218,245,226,160,294,269,NA,723,221,436,252,552
"03/12/2008",2242,162.457627118644,182,311,303,223,254,255,156,282,280,NA,761,214,454,264,552
"03/13/2008",2105,154.194774346793,160,297,305,212,243,218,153,266,253,NA,735,204,410,252,505
"03/14/2008",2330,165.545064377682,181,336,314,222,269,247,171,308,284,NA,782,214,472,286,577
"03/15/2008",2510,200.083665338645,203,381,334,244,298,274,182,291,304,NA,833,225,525,309,618
"03/16/2008",2540,219.755905511811,199,356,349,253,297,260,184,326,317,NA,837,230,516,313,645
"03/17/2008",2305,159.206073752711,174,335,326,223,257,243,161,303,284,NA,752,239,453,274,587
"03/18/2008",2256,159.281914893617,173,317,297,228,260,238,160,310,273,NA,764,219,434,267,572
"03/19/2008",2231,161.107126848947,178,321,299,226,250,241,153,293,271,NA,728,231,432,271,569
"03/20/2008",2046,152.487781036168,179,289,270,208,229,221,136,268,246,NA,697,208,417,227,497
"03/21/2008",2208,171.345108695652,188,310,304,220,235,233,165,287,267,NA,727,215,467,254,547
"03/22/2008",2493,207.625350982752,199,378,341,247,275,270,174,320,289,NA,862,244,511,290,586
"03/23/2008",2553,205.162553858206,200,366,366,252,296,270,185,312,306,NA,843,247,517,307,639
"03/24/2008",2206,157.878513145966,177,317,307,213,257,235,146,289,265,NA,743,208,441,271,543
"03/25/2008",2150,163.46511627907,159,310,296,238,236,235,145,275,256,NA,763,204,424,256,503
"03/26/2008",2156,162.365491651206,176,313,295,221,240,227,147,269,269,NA,715,211,435,253,542
"03/27/2008",723,52.9183955739972,62,87,103,78,87,71,53,94,88,NA,256,55,157,82,173
"03/28/2008",1743,153.316121629375,148,248,258,189,194,178,111,205,212,NA,590,155,358,199,441
"03/29/2008",2405,216.070686070686,181,359,365,236,258,248,168,297,296,NA,829,219,480,266,612
"03/30/2008",2411,223.434259643302,182,344,363,236,267,252,173,298,297,NA,824,213,480,281,614
"03/31/2008",2123,172.788506829958,168,301,312,200,233,214,139,279,277,NA,707,208,431,239,539
"04/01/2008",2183,174.228126431516,160,314,319,210,252,232,142,285,269,NA,746,197,426,243,571
"04/02/2008",2158,172.354031510658,166,320,310,196,259,227,136,278,267,NA,711,204,428,252,564
"04/03/2008",737,55.8073270013569,61,99,118,74,83,77,49,95,81,NA,265,61,148,76,187
"04/07/2008",1773,132.961082910321,142,246,262,171,198,172,122,220,240,NA,582,179,366,196,450
"04/08/2008",2042,165.812928501469,171,283,301,187,222,212,134,269,263,NA,625,207,414,236,560
"04/09/2008",2028,162.716962524655,171,275,281,182,243,213,144,258,263,NA,653,204,416,242,513
"04/10/2008",1906,148.263378803778,153,264,274,189,217,189,134,237,249,NA,622,200,390,223,471
"04/11/2008",2057,166.650461837628,148,293,286,194,244,221,148,267,257,NA,664,214,382,247,550
"04/12/2008",2300,195.278260869565,187,323,330,222,258,243,162,304,271,NA,756,230,475,255,584
"04/13/2008",2483,205.888038662908,199,348,350,232,285,274,166,320,310,NA,818,263,498,279,626
"04/14/2008",2080,164.658653846154,176,276,303,199,256,222,133,255,261,NA,689,198,422,229,544
"04/15/2008",1989,162.463549522373,152,280,292,179,218,218,140,255,255,NA,639,188,419,231,512
"04/16/2008",2006,166.984047856431,158,288,281,183,207,227,143,252,267,NA,626,204,414,253,509
"04/17/2008",1882,157.438894792774,157,268,265,180,215,205,128,228,236,NA,598,199,389,218,478
"04/18/2008",2017,167.570649479425,175,294,263,193,216,222,146,247,262,NA,634,215,429,246,493
"04/19/2008",2206,201.541251133273,188,307,322,204,247,225,150,280,283,NA,738,211,461,258,538
"04/20/2008",2405,203.264033264033,197,345,341,242,259,248,163,304,306,NA,795,242,502,289,577
"04/21/2008",2066,161.239109390126,176,294,309,194,223,233,124,266,248,NA,699,197,414,246,510
"04/22/2008",2052,158.479532163743,180,295,311,185,231,215,133,260,244,NA,676,205,430,243,498
"04/23/2008",2032,158.021653543307,182,292,277,188,234,224,135,242,259,NA,637,212,444,237,502
"04/24/2008",1902,156.703470031546,158,279,270,183,212,205,121,234,240,NA,622,200,390,239,451
"04/25/2008",2032,162.726377952756,178,293,276,191,229,227,131,248,262,NA,654,213,419,244,503
"04/26/2008",2307,201.395752058951,188,344,325,225,244,243,161,289,289,NA,763,235,478,278,553
"04/27/2008",2374,205.151642796967,194,355,330,227,252,259,168,310,281,NA,764,247,494,278,592
"04/28/2008",2080,157.240384615385,172,305,295,194,240,221,137,275,243,NA,675,205,420,252,528
"04/29/2008",2103,153.533048026629,177,298,270,203,251,227,138,286,253,NA,680,214,435,241,533
"04/30/2008",1341,114.817300521999,103,188,179,130,153,138,98,189,163,NA,449,149,261,150,332
"05/06/2008",1507,119.575315195753,130,214,211,149,168,152,92,205,186,NA,497,153,314,165,378
"05/07/2008",2047,145.310210063508,172,298,271,205,235,222,132,260,252,NA,671,194,417,260,505
"05/08/2008",1842,143.219326818675,159,248,256,175,206,190,121,249,238,NA,602,181,395,213,451
"05/09/2008",2043,155.7317670093,174,287,291,190,229,220,139,264,249,NA,676,202,431,258,478
"05/10/2008",2262,194.960212201592,196,316,301,217,263,250,156,299,264,NA,753,213,488,252,556
"05/11/2008",2308,187.491334488735,200,331,326,209,262,258,162,290,271,NA,745,235,491,263,574
"05/12/2008",1970,154.710659898477,169,269,262,201,230,215,139,240,245,NA,649,196,416,239,470
"05/13/2008",1932,151.526915113872,168,269,252,181,210,218,134,255,245,NA,626,207,423,212,464
"05/14/2008",2057,148.123480797278,176,278,285,190,232,243,153,253,247,NA,685,190,449,239,494
"05/15/2008",1815,134.898071625344,151,248,252,185,207,194,124,224,230,NA,614,179,380,185,458
"05/16/2008",1357,111.812822402358,127,179,182,131,157,162,83,176,161,NA,463,135,292,148,320
"05/19/2008",1693,144.105138806852,145,251,228,154,189,191,118,227,190,NA,568,168,369,190,398
"05/20/2008",2035,142.34398034398,158,295,279,197,239,226,139,253,249,NA,703,210,419,233,470
"05/21/2008",1927,151.748832381941,159,279,256,188,226,205,138,248,228,NA,648,198,407,221,454
"05/22/2008",1802,142.297447280799,152,267,241,169,207,189,121,242,214,NA,622,184,379,203,414
"05/23/2008",1954,164.631525076766,156,282,285,199,221,205,130,250,227,NA,677,195,401,223,459
"05/24/2008",2173,192.42982052462,184,329,308,214,246,219,141,275,257,NA,764,230,450,242,487
"05/25/2008",2229,205.383580080754,189,335,297,216,247,232,157,271,285,NA,754,231,474,273,497
"05/26/2008",1926,154.84942886812,167,268,250,191,232,206,142,233,240,NA,663,190,419,226,428
"05/27/2008",1907,154.840062926062,176,265,246,191,203,198,144,241,245,NA,634,187,435,233,418
"05/28/2008",1931,148.270326255826,166,263,272,185,225,189,141,243,247,NA,634,197,416,231,453
"05/29/2008",1843,141.730873575692,148,241,249,186,203,194,140,241,241,NA,622,183,397,203,438
"05/30/2008",1936,157.789256198347,169,242,285,187,212,215,151,243,237,NA,638,196,420,215,470
"05/31/2008",2204,188.901996370236,195,303,310,220,235,243,157,279,262,NA,744,221,464,250,526
"06/01/2008",2304,192.296006944444,181,324,318,235,262,245,170,274,296,NA,776,234,477,274,543
"06/02/2008",1972,150.755578093306,173,264,283,194,238,207,142,239,233,NA,650,187,428,238,470
"06/03/2008",2018,158.439048562934,168,279,274,187,242,204,147,263,254,NA,670,183,442,241,482
"06/04/2008",2001,145.857071464268,169,286,257,205,233,210,135,262,248,NA,670,195,424,222,492
"06/05/2008",1810,151,162,247,239,180,209,173,138,229,234,NA,589,191,411,204,415
"06/06/2008",1982,150.867810292634,167,265,274,209,222,204,143,249,249,NA,675,200,419,228,461
"06/07/2008",2153,191.124013005109,171,312,294,212,246,233,159,259,269,NA,741,207,454,259,493
"06/08/2008",2308,191.750433275563,207,317,311,230,256,235,179,297,276,NA,769,228,511,262,538
"06/09/2008",1919,161.099531005732,169,264,247,198,233,188,139,245,238,NA,640,175,433,220,452
"06/10/2008",1902,146.419558359621,170,239,246,191,218,185,152,245,257,NA,610,196,424,216,458
"06/11/2008",1904,147.668067226891,162,251,261,192,231,191,146,218,252,NA,640,195,410,215,444
"06/12/2008",1771,147.481648785997,170,220,252,183,204,159,137,221,225,NA,590,173,400,189,419
"06/13/2008",672,69.0922619047619,56,85,92,70,80,66,56,76,91,NA,248,68,147,59,150
"06/18/2008",1725,127.234782608696,165,237,209,178,200,174,123,212,229,NA,578,166,393,218,372
"06/19/2008",1721,139.192330040674,149,225,228,178,198,182,125,219,218,NA,606,162,370,201,382
"06/20/2008",1914,148.735632183908,164,235,249,198,226,194,154,247,248,NA,649,198,417,216,435
"06/21/2008",2121,198.849599245639,180,277,293,215,240,229,157,274,257,NA,709,210,452,257,494
"06/22/2008",866,87.1016166281755,73,99,123,87,120,82,64,106,112,NA,304,78,183,99,202
"06/23/2008",1249,107.461969575661,119,166,178,126,129,116,103,151,161,NA,413,127,293,131,285
"06/24/2008",1862,140.977443609023,152,241,239,191,219,200,149,231,240,NA,634,173,398,227,430
"06/25/2008",1906,142.539349422875,155,262,265,190,219,193,148,252,223,NA,633,166,404,240,463
"06/26/2008",1862,135.875402792696,151,238,229,195,219,207,143,239,241,NA,619,203,413,216,411
"06/27/2008",1974,154.022289766971,162,264,279,186,233,215,156,234,247,NA,664,212,436,223,439
"06/28/2008",2124,201.374764595104,183,283,275,210,241,232,170,256,274,NA,695,219,483,252,476
"06/29/2008",2158,188.493975903614,196,273,296,202,241,231,176,264,281,NA,719,201,494,242,502
"06/30/2008",1899,156.882569773565,168,251,265,192,214,203,156,225,227,NA,649,175,425,215,435
"07/01/2008",1898,155.521601685985,166,249,254,192,211,188,150,249,240,NA,639,198,414,223,425
"07/02/2008",1846,149.815817984832,168,241,241,186,215,183,133,223,256,NA,635,183,416,189,423
"07/03/2008",1730,131.872832369942,154,219,244,176,205,182,126,213,212,NA,600,162,376,187,407
"07/04/2008",1869,158.138041733547,159,246,259,205,216,183,143,219,239,NA,656,190,396,208,419
"07/05/2008",1986,177.381671701913,169,260,270,217,222,219,152,246,232,NA,686,180,433,224,463
"07/06/2008",2090,186.263157894737,189,280,272,217,242,218,164,266,242,NA,695,198,456,235,506
